time,magnitude,place,longitude,latitude,depth,type,alert,tsunami,sig
2024-11-17 15:42:33.864,3.2,"44 km WNW of Ninilchik, Alaska",-152.4346,60.1553,86.4,earthquake,,0,158
2024-11-17 15:08:52.690,0.75,"2 km NNE of The Geysers, CA",-122.754501342773,38.7921676635742,2.70000004768372,earthquake,,0,9
2024-11-17 14:50:55.710,1.03,"8 km WNW of Cobb, CA",-122.807830810547,38.8361663818359,2.20000004768372,earthquake,,0,16
2024-11-17 14:50:41.960,1.28,"7 km WNW of Cobb, CA",-122.807830810547,38.8358345031738,2.33999991416931,earthquake,,0,25
2024-11-17 14:30:23.197,1.7,"57 km S of Denali National Park, Alaska",-151.5453,63.0285,0.0,earthquake,,0,44
2024-11-17 14:14:02.477,4.8,south of the Fiji Islands,179.8846,-24.2733,508.147,earthquake,,0,354
2024-11-17 14:07:21.582,2.3,"49 km SSE of Denali National Park, Alaska",-151.5176,63.1028,0.0,earthquake,,0,81
2024-11-17 13:55:11.960,0.6,"13 km N of Borrego Springs, CA",-116.3595,33.3748333,9.36,earthquake,,0,6
2024-11-17 13:48:16.560,2.32,"17 km ESE of Naalehu, Hawaii",-155.436004638672,18.9953327178955,37.2000007629395,earthquake,,0,83
2024-11-17 13:45:47.240,0.88,"11 km NE of Ocotillo Wells, CA",-116.0486667,33.2106667,5.97,earthquake,,0,12
2024-11-17 13:13:19.290,0.81,"6 km ENE of Cabazon, CA",-116.7361667,33.9455,14.33,earthquake,,0,10
2024-11-17 13:12:11.570,0.99,"5 km NW of Fontana, CA",-117.494,34.1345,2.42,earthquake,,0,15
2024-11-17 12:36:52.490,1.15,"23 km SSE of Twentynine Palms, CA",-116.0231667,33.9393333,6.17,earthquake,,0,20
2024-11-17 12:32:30.000,2.31999993,"4 km S of Pāhala, Hawaii",-155.481674194336,19.1599998474121,28.9799995422363,earthquake,,0,83
2024-11-17 12:31:01.230,1.69,"2 km SSW of Brawley, CA",-115.5365,32.9568333,7.62,earthquake,,0,44
2024-11-17 12:26:18.420,1.37,"6 km NW of Fontana, CA",-117.4958333,34.136,2.94,earthquake,,0,29
